Customer ID,Recommended Product
12346,RED/WHITE DOTS RUFFLED UMBRELLA
12346,SMALL HANGING IVORY/RED WOOD BIRD
12346,BLACK/BLUE DOTS RUFFLED UMBRELLA
12346,SCOTTIE DOG HOT WATER BOTTLE
12346,FAIRY CAKE BIRTHDAY CANDLE SET
12347,PACK OF 72 RETRO SPOT CAKE CASES
12347,JAPANESE CROCHETED ANIMAL
12347,PACK OF 60 PINK PAISLEY CAKE CASES
12347,PACK OF 60 DINOSAUR CAKE CASES
12347,CHRISTMAS STAR WISH LIST CHALKBOARD
12348,PACK OF 12 PINK PAISLEY TISSUES 
12348,PACK OF 12 PINK SPOT TISSUES 
12348,HAND WARMER RED POLKA DOT
12348,PACK OF 72 RETRO SPOT CAKE CASES
12348,PLASTERS IN TIN STRONGMAN
12349,JACOBS LADDER SMALL
12349,ASSORTED INCENSE PACK
12349,"ASSORTED FLOWER COLOUR ""LEIS"""
12349,CREAM HEART CARD HOLDER
12349,COLOUR GLASS T-LIGHT HOLDER HANGING
12351,SKULLS AND CROSSBONES WRAP
12351,TEA PARTY  WRAPPING PAPER 
12351,RED RETROSPOT WRAP 
12351,WRAP SUKI AND FRIENDS
12351,WRAP  PINK FLOCK
12352,NO SINGING METAL SIGN
12352,LADIES & GENTLEMEN METAL SIGN
12352,BEWARE OF THE CAT METAL SIGN 
12352,I CAN ONLY PLEASE ONE PERSON MUG
12352,GIN AND TONIC MUG
12353,ASSORTED LAQUERED INCENSE HOLDERS
12353,CERAMIC CHERRY CAKE MONEY BANK
12353,MINI CAKE STAND  HANGING STRAWBERY
12353,HANGING METAL HEART LANTERN
12353,TEA TIME OVEN GLOVE
12355,ECONOMY PASSPORT COVER 
12355,GLITTER HANGING BUTTERFLY STRING
12355,BLUE POT PLANT CANDLE 
12355,PACK OF 12 TRADITIONAL CRAYONS
12355,CURIOUS  IMAGES NOTEBOOK SET
12356,VICTORIAN GLASS HANGING T-LIGHT
12356,PACK OF 60 PINK PAISLEY CAKE CASES
12356,PACK OF 72 RETRO SPOT CAKE CASES
12356,STRAWBERRY CERAMIC TRINKET BOX
12356,SMALL HEART FLOWERS HOOK 
12357,SMALL GLASS HEART TRINKET POT
12357,ASSORTED COLOUR BIRD ORNAMENT
12357,FANCY FONTS BIRTHDAY WRAP
12357,BLACK SMALL GLASS CAKE STAND
12357,PINK PAISLEY ROSE GIFT WRAP
12358,BLACK/BLUE DOTS RUFFLED UMBRELLA
12358,SMALL HANGING IVORY/RED WOOD BIRD
12358,SCOTTIE DOG HOT WATER BOTTLE
12358,CHRISTMAS PUDDING TRINKET POT 
